space,layer,held_out,detector,indist_auc,ood_auc,auc_drop
rawpca,18,toxic-chat,plain_voronoi,0.6740124381659056,0.6283532643826761,0.04565917378322948
rawpca,18,toxic-chat,lda,0.7917037841106763,0.656068196509373,0.13563558760130334
rawpca,18,toxic-chat,qda,0.8189935142150467,0.5085649644473174,0.3104285497677294
rawpca,18,toxic-chat,power_single,0.6740124381659056,0.6283532643826761,0.04565917378322948
rawpca,18,toxic-chat,power_multi,0.7489271614753207,0.43422753716871365,0.31469962430660703
rawpca,18,wildjailbreak,linear_probe,0.8072270144210705,0.6141840882694541,0.19304292615161633
rawpca,18,wildjailbreak,plain_voronoi,0.7142706929872944,0.6141114982578397,0.10015919472945467
rawpca,18,wildjailbreak,lda,0.8048217786476668,0.6099738675958188,0.19484791105184796
rawpca,18,wildjailbreak,qda,0.7904072899132718,0.5092915214866435,0.28111576842662833
rawpca,18,wildjailbreak,power_single,0.7142706929872944,0.6141114982578397,0.10015919472945467
rawpca,18,wildjailbreak,power_multi,0.7022789218565167,0.4495499419279907,0.25272897992852605
rawpca,20,aegis-2.0,linear_probe,0.8930020703933748,0.7385714285714285,0.1544306418219462
rawpca,20,aegis-2.0,plain_voronoi,0.7240227743271221,0.5018831168831168,0.22213965744400532
rawpca,20,aegis-2.0,lda,0.8867199792960662,0.7294155844155844,0.15730439488048176
rawpca,20,aegis-2.0,qda,0.8876278467908904,0.680064935064935,0.2075629117259553
rawpca,20,aegis-2.0,power_single,0.7240227743271221,0.5018831168831168,0.22213965744400532
rawpca,20,aegis-2.0,power_multi,0.8130522774327122,0.7051948051948052,0.10785747223790709
rawpca,20,toxic-chat,linear_probe,0.8431558660850185,0.8320539754363284,0.01110189064869005
rawpca,20,toxic-chat,plain_voronoi,0.7414275691726463,0.6437055591467357,0.09772201002591063
rawpca,20,toxic-chat,lda,0.8384490004620571,0.8362960568842922,0.0021529435777648542
rawpca,20,toxic-chat,qda,0.8358478915253317,0.778038138332256,0.057809753193075686
rawpca,20,toxic-chat,power_single,0.7414275691726463,0.6437055591467357,0.09772201002591063
rawpca,20,toxic-chat,power_multi,0.7748949330017395,0.6167178409825469,0.1581770920191926
rawpca,20,wildjailbreak,linear_probe,0.8995012466599877,0.7497459349593495,0.14975531170063816
rawpca,20,wildjailbreak,plain_voronoi,0.7672214889317479,0.727424506387921,0.03979698254382691
rawpca,20,wildjailbreak,lda,0.899043472874275,0.7411077235772358,0.15793574929703924
rawpca,20,wildjailbreak,qda,0.8745166537017205,0.6271414053426249,0.24737524835909563
rawpca,20,wildjailbreak,power_single,0.7672214889317479,0.727424506387921,0.03979698254382691
rawpca,20,wildjailbreak,power_multi,0.804941977398505,0.502177700348432,0.302764277050073
rawpca,22,aegis-2.0,linear_probe,0.8950698757763975,0.7809090909090909,0.11416078486730663
rawpca,22,aegis-2.0,plain_voronoi,0.7438969979296066,0.5066883116883116,0.23720868624129499
rawpca,22,aegis-2.0,lda,0.8858664596273294,0.7635064935064935,0.12235996612083588
rawpca,22,aegis-2.0,qda,0.88272049689441,0.7394155844155844,0.1433049124788256
rawpca,22,aegis-2.0,power_single,0.7438969979296066,0.5066883116883116,0.23720868624129499
rawpca,22,aegis-2.0,power_multi,0.8209792960662525,0.7602597402597403,0.060719555806512227
rawpca,22,toxic-chat,linear_probe,0.841715250597956,0.8512039431157078,-0.009488692517751751
rawpca,22,toxic-chat,plain_voronoi,0.7958729139486845,0.688267614738203,0.10760529921048156
rawpca,22,toxic-chat,lda,0.8366912304305284,0.8516887524240465,-0.014997521993518115
rawpca,22,toxic-chat,qda,0.8371409715427266,0.7857142857142857,0.0514266858284409
rawpca,22,toxic-chat,power_single,0.7958729139486845,0.688267614738203,0.10760529921048156
rawpca,22,toxic-chat,power_multi,0.8009614012557078,0.6396654815772462,0.16129591967846157
rawpca,22,wildjailbreak,linear_probe,0.8826739278307164,0.7657883275261325,0.11688560030458395
rawpca,22,wildjailbreak,plain_voronoi,0.8266178287269058,0.7904689314750291,0.036148897251876755
rawpca,22,wildjailbreak,lda,0.8826197252225583,0.7442290940766552,0.1383906311459031
rawpca,22,wildjailbreak,qda,0.8653564029957961,0.7434668989547037,0.12188950404109233
rawpca,22,wildjailbreak,power_single,0.8266178287269058,0.7904689314750291,0.036148897251876755
