space,layer,held_out,detector,indist_auc,ood_auc,auc_drop
pns,28,toxic-chat,plain_voronoi,0.5994497784844531,0.36570782159017456,0.23374195689427857
pns,28,toxic-chat,lda,0.6929172782126549,0.6296864899806076,0.06323078823204731
pns,28,toxic-chat,qda,0.8106687595129376,0.6813186813186813,0.12935007819425626
pns,28,toxic-chat,power_single,0.5994497784844531,0.36570782159017456,0.23374195689427857
pns,28,toxic-chat,power_multi,0.7565608692106981,0.6944489334195216,0.062111935791176465
pns,28,wildjailbreak,linear_probe,0.7680286511412925,0.531612950058072,0.23641570108322052
pns,28,wildjailbreak,plain_voronoi,0.6237298621427145,0.31420586527293837,0.30952399686977616
pns,28,wildjailbreak,lda,0.7705973683343201,0.5357142857142858,0.23488308262003432
pns,28,wildjailbreak,qda,0.8227953635128691,0.7097125435540069,0.11308281995886216
pns,28,wildjailbreak,power_single,0.6237298621427145,0.31420586527293837,0.30952399686977616
pns,28,wildjailbreak,power_multi,0.8111823752972706,0.5904108594657376,0.22077151583153298
pns,30,aegis-2.0,linear_probe,0.6944596273291925,0.6306493506493507,0.06381027667984185
pns,30,aegis-2.0,plain_voronoi,0.6617329192546584,0.21571428571428572,0.44601863354037263
