model,model_id,run_id,hidden_dim_raw,layer,frame,pns_file,pns_sha256,n_rows,n_dims,dtype,bytes,labels_file,labels_sha256,n_Refusal,n_Jailbreak,n_Benign,covariance_estimator,rawpca_available,consumed_by,results_in,sites_file,sites_sha256,sites_match
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,20260827T183212Z,4096,2,pns,experiment1/data/runs/Mistral-7B-Instruct-v0.3/pns_layer2.npy,36f22beee3c9,1500,9,float64,108128,experiment1/data/runs/Mistral-7B-Instruct-v0.3/labels.csv,d52aee1fe410,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Mistral-7B-Instruct-v0.3/sites_layer2.npz,3c640e537ad9,matched
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,20260827T183212Z,4096,4,pns,experiment1/data/runs/Mistral-7B-Instruct-v0.3/pns_layer4.npy,25ad4320004e,1500,9,float64,108128,experiment1/data/runs/Mistral-7B-Instruct-v0.3/labels.csv,d52aee1fe410,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Mistral-7B-Instruct-v0.3/sites_layer4.npz,516fa5aacd50,matched
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,20260827T183212Z,4096,6,pns,experiment1/data/runs/Mistral-7B-Instruct-v0.3/pns_layer6.npy,47bf04080220,1500,9,float64,108128,experiment1/data/runs/Mistral-7B-Instruct-v0.3/labels.csv,d52aee1fe410,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Mistral-7B-Instruct-v0.3/sites_layer6.npz,7b75d3e575e9,matched
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,20260827T183212Z,4096,8,pns,experiment1/data/runs/Mistral-7B-Instruct-v0.3/pns_layer8.npy,2b6100760d50,1500,9,float64,108128,experiment1/data/runs/Mistral-7B-Instruct-v0.3/labels.csv,d52aee1fe410,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Mistral-7B-Instruct-v0.3/sites_layer8.npz,ce91b7f40c05,matched
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,20260827T183212Z,4096,10,pns,experiment1/data/runs/Mistral-7B-Instruct-v0.3/pns_layer10.npy,692e6e4f0d7f,1500,9,float64,108128,experiment1/data/runs/Mistral-7B-Instruct-v0.3/labels.csv,d52aee1fe410,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Mistral-7B-Instruct-v0.3/sites_layer10.npz,a7ac5760f2d2,matched
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,20260827T183212Z,4096,12,pns,experiment1/data/runs/Mistral-7B-Instruct-v0.3/pns_layer12.npy,339dbb8fe37a,1500,9,float64,108128,experiment1/data/runs/Mistral-7B-Instruct-v0.3/labels.csv,d52aee1fe410,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Mistral-7B-Instruct-v0.3/sites_layer12.npz,dcc9a3264f84,matched
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,20260827T183212Z,4096,14,pns,experiment1/data/runs/Mistral-7B-Instruct-v0.3/pns_layer14.npy,656e9b44350d,1500,9,float64,108128,experiment1/data/runs/Mistral-7B-Instruct-v0.3/labels.csv,d52aee1fe410,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Mistral-7B-Instruct-v0.3/sites_layer14.npz,34bb1e853973,matched
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,20260827T183212Z,4096,16,pns,experiment1/data/runs/Mistral-7B-Instruct-v0.3/pns_layer16.npy,2953b3ecd349,1500,9,float64,108128,experiment1/data/runs/Mistral-7B-Instruct-v0.3/labels.csv,d52aee1fe410,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Mistral-7B-Instruct-v0.3/sites_layer16.npz,09b7cc5076ca,matched
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,20260827T183212Z,4096,18,pns,experiment1/data/runs/Mistral-7B-Instruct-v0.3/pns_layer18.npy,1eb7991f4956,1500,9,float64,108128,experiment1/data/runs/Mistral-7B-Instruct-v0.3/labels.csv,d52aee1fe410,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Mistral-7B-Instruct-v0.3/sites_layer18.npz,ff6718065dc7,matched
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,20260827T183212Z,4096,20,pns,experiment1/data/runs/Mistral-7B-Instruct-v0.3/pns_layer20.npy,3750a634aab4,1500,9,float64,108128,experiment1/data/runs/Mistral-7B-Instruct-v0.3/labels.csv,d52aee1fe410,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Mistral-7B-Instruct-v0.3/sites_layer20.npz,1beef28d2b72,matched
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,20260827T183212Z,4096,22,pns,experiment1/data/runs/Mistral-7B-Instruct-v0.3/pns_layer22.npy,541e8d3153d0,1500,9,float64,108128,experiment1/data/runs/Mistral-7B-Instruct-v0.3/labels.csv,d52aee1fe410,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Mistral-7B-Instruct-v0.3/sites_layer22.npz,405f8b14bdb7,matched
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,20260827T183212Z,4096,24,pns,experiment1/data/runs/Mistral-7B-Instruct-v0.3/pns_layer24.npy,50e948717f00,1500,9,float64,108128,experiment1/data/runs/Mistral-7B-Instruct-v0.3/labels.csv,d52aee1fe410,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Mistral-7B-Instruct-v0.3/sites_layer24.npz,15042f1efce0,matched
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,20260827T183212Z,4096,26,pns,experiment1/data/runs/Mistral-7B-Instruct-v0.3/pns_layer26.npy,f7c223192792,1500,9,float64,108128,experiment1/data/runs/Mistral-7B-Instruct-v0.3/labels.csv,d52aee1fe410,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Mistral-7B-Instruct-v0.3/sites_layer26.npz,7f0501297677,matched
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,20260827T183212Z,4096,28,pns,experiment1/data/runs/Mistral-7B-Instruct-v0.3/pns_layer28.npy,6d514e035ff0,1500,9,float64,108128,experiment1/data/runs/Mistral-7B-Instruct-v0.3/labels.csv,d52aee1fe410,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Mistral-7B-Instruct-v0.3/sites_layer28.npz,3890b732cd27,matched
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,20260827T183212Z,4096,30,pns,experiment1/data/runs/Mistral-7B-Instruct-v0.3/pns_layer30.npy,e6e8cf3d3ead,1500,9,float64,108128,experiment1/data/runs/Mistral-7B-Instruct-v0.3/labels.csv,d52aee1fe410,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Mistral-7B-Instruct-v0.3/sites_layer30.npz,652baaf0cb1c,matched
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,20260827T183212Z,4096,32,pns,experiment1/data/runs/Mistral-7B-Instruct-v0.3/pns_layer32.npy,0b60000db654,1500,9,float64,108128,experiment1/data/runs/Mistral-7B-Instruct-v0.3/labels.csv,d52aee1fe410,500,500,500,empirical (np.cov),False,experiment2/pipeline/step4_dispersion_ratio.py,experiment2/data/dispersion_ratio.csv,experiment1/data/runs/Mistral-7B-Instruct-v0.3/sites_layer32.npz,081fbb49b0e6,matched
