model,frame,layer,pair,dims,d_mean,d_disp,d_bhattacharyya,rho,error_upper,error_lower,log_trace_ratio,n_a,n_b,rho_lo,rho_hi,rho_se,d_bhattacharyya_lo,d_bhattacharyya_hi,d_bhattacharyya_se,draws_used,err_logistic,err_lda,err_qda,err_best,best_detector,below_floor,above_ceiling,log_trace_R_over_B
Llama-3.1-8B-Instruct,pns,18,Jailbreak_vs_Benign,9,0.14070132744425345,0.36446333120118624,0.5051646586454397,0.7214743251803615,0.3017031055986448,0.10128301256137456,0.5008762458622954,500,500,0.6705104196182967,0.7769184397536192,0.027303492333917073,0.4463382349142762,0.6262195553372691,0.04413932184822552,600,0.29200000000000004,0.29600000000000004,0.22899999999999987,0.22899999999999987,err_qda,False,False,1.094795799862534
Llama-3.1-8B-Instruct,pns,18,Jailbreak_vs_Refusal,9,0.14785069772673362,0.45292279031587057,0.6007734880426042,0.7538994302021385,0.2741936504930439,0.08188776383691126,-0.5939195540002384,500,500,0.7095865892178654,0.8098945619883026,0.025304605112941077,0.5346890871002242,0.7603010267426471,0.05606897006562297,600,0.266,0.272,0.22399999999999998,0.22399999999999998,err_qda,False,False,1.094795799862534
Llama-3.1-8B-Instruct,pns,20,Jailbreak_vs_Benign,9,0.1440397086854519,0.4040263951869747,0.5480661038724266,0.7371855189224035,0.2890333254816736,0.09200522459104338,0.49581752480095065,500,500,0.6869899855212145,0.7876217838482619,0.025644158501066733,0.4842996385927294,0.6706453828139451,0.04689279339541938,600,0.279,0.2769999999999999,0.22899999999999987,0.22899999999999987,err_qda,False,False,0.7850229531252096
Llama-3.1-8B-Instruct,pns,20,Jailbreak_vs_Refusal,9,0.2590567616793148,0.5091364364660755,0.7681931981453903,0.662771341500104,0.23192519869892197,0.0570432276074046,-0.28920542832425905,500,500,0.6151832567891702,0.7236298373592064,0.027926861681348603,0.669921592904054,0.9486477624374074,0.0715749297438272,600,0.19900000000000007,0.20899999999999996,0.19599999999999995,0.19599999999999995,err_qda,False,False,0.7850229531252096
Llama-3.1-8B-Instruct,pns,22,Jailbreak_vs_Benign,9,0.2040278216940309,0.3399215549843859,0.5439493766784168,0.6249139525815611,0.29022564938487433,0.0928525175822304,0.3006462105521728,500,500,0.5764010914313328,0.6825355539896113,0.027318854112006,0.4811887843248937,0.67568607576877,0.04785277845487805,600,0.2350000000000001,0.243,0.22999999999999998,0.22999999999999998,err_qda,False,False,0.8029450075150535
Llama-3.1-8B-Instruct,pns,22,Jailbreak_vs_Refusal,9,0.22194696384738535,0.5733655761902945,0.7953125400376798,0.7209311400561218,0.22572005987981594,0.053849291642552366,-0.5022987969628805,500,500,0.6726232727404579,0.7743296920768161,0.025674959235858615,0.6984546405842524,0.9870018947843762,0.07182481848604577,600,0.248,0.249,0.20300000000000007,0.20300000000000007,err_qda,False,False,0.8029450075150535
Llama-3.1-8B-Instruct,pns,24,Jailbreak_vs_Benign,9,0.1850086089408361,0.34843315753844273,0.5334417664792788,0.6531793710831928,0.29329130553179383,0.09505529994892392,0.42291556761095717,500,500,0.6071063494815713,0.7116040222790324,0.027299451611036526,0.4740314344550553,0.656604125121584,0.04550281070858994,600,0.258,0.26,0.2310000000000001,0.2310000000000001,err_qda,False,False,1.0113685218588508
Llama-3.1-8B-Instruct,pns,24,Jailbreak_vs_Refusal,9,0.19965478677192322,0.6471379542819946,0.8467927410539178,0.7642223686005705,0.2143939814844726,0.048297420083484977,-0.5884529542478935,500,500,0.7174558593973698,0.8117478590657469,0.023953050070283546,0.7524670246100803,1.0397296826504252,0.07322399607970363,600,0.2530000000000001,0.2570000000000001,0.19500000000000006,0.19500000000000006,err_qda,False,False,1.0113685218588508
Llama-3.1-8B-Instruct,pns,26,Jailbreak_vs_Benign,9,0.21399716485272555,0.2908127512449177,0.5048099160976433,0.5760836742134577,0.3018101515127506,0.10136403518516979,0.2827248662943672,500,500,0.5276173711284421,0.6436342774995144,0.02939182401180267,0.44955984725051873,0.6244174426820338,0.043494375711604194,600,0.236,0.23799999999999988,0.249,0.236,err_logistic,False,False,1.1970780536453538
Llama-3.1-8B-Instruct,pns,26,Jailbreak_vs_Refusal,9,0.13238390241386583,0.6572971179713978,0.7896810203852636,0.8323577507924917,0.2269947928058296,0.05449650502039999,-0.9143531873509865,500,500,0.7904050917392361,0.8707259548552372,0.020449593441633943,0.705917778808527,0.9636698221805702,0.0673332835588783,600,0.3320000000000001,0.33299999999999996,0.18000000000000005,0.18000000000000005,err_qda,False,False,1.1970780536453538
Llama-3.1-8B-Instruct,pns,28,Jailbreak_vs_Benign,9,0.27869131076004183,0.35192619832261585,0.6306175090826577,0.5580660118913499,0.2661315111274033,0.07671047876772946,0.49484901951335086,500,500,0.5181209252480463,0.6144962155342294,0.02438050674137351,0.5697809195917855,0.7652844350552037,0.04842260509591155,600,0.21900000000000008,0.21800000000000008,0.22699999999999998,0.21800000000000008,err_lda,False,False,0.6484531840759487
Llama-3.1-8B-Instruct,pns,28,Jailbreak_vs_Refusal,9,0.3073319046338182,0.6249124710612008,0.9322443756950191,0.6703311785553095,0.19683458829900718,0.040373907562722966,-0.15360416456259782,500,500,0.6139515419160653,0.7267871993095198,0.028580644945887277,0.8413569787614135,1.1314508473215261,0.0729395818710562,600,0.15600000000000003,0.17200000000000004,0.15800000000000003,0.15600000000000003,err_logistic,False,False,0.6484531840759487
