model,layer,frame,pair,rho_before,rho_after,rho_delta,d_b_before,d_b_after,d_b_retained,d_mean_before,d_mean_after,d_disp_before,d_disp_after,delta_before,delta_after,frame_variance_removed
Llama-3.1-8B-Instruct,22,pns,Jailbreak_vs_Benign,0.6249139525815611,0.5794829986978383,-0.04543095388372287,0.5439493766784168,0.479996671001208,0.882428938391784,0.2040278216940309,0.2018467607244483,0.3399215549843859,0.2781499102767597,0.8029450075150533,-0.35039375486441926,0.752784836260007
Llama-3.1-8B-Instruct,22,pns,Jailbreak_vs_Refusal,0.7209311400561218,0.9175703704735803,0.19663923041745845,0.7953125400376798,0.49256422075648754,0.6193341560201617,0.22194696384738535,0.04060188623492687,0.5733655761902945,0.45196233452156065,0.8029450075150533,-0.35039375486441926,0.752784836260007
Llama-3.1-8B-Instruct,24,pns,Jailbreak_vs_Benign,0.6531793710831928,0.6028612773269626,-0.0503180937562302,0.5334417664792788,0.4313337314167176,0.8085863509779609,0.1850086089408361,0.17129932714063023,0.34843315753844273,0.26003440427608737,1.011368521858851,-0.4847276491407683,0.7633598409621295
Llama-3.1-8B-Instruct,24,pns,Jailbreak_vs_Refusal,0.7642223686005705,0.9283164823252488,0.1640941137246783,0.8467927410539178,0.5371520276141643,0.634337071602226,0.19965478677192322,0.03850494686550844,0.6471379542819946,0.4986470807486558,1.011368521858851,-0.4847276491407683,0.7633598409621295
Llama-3.1-8B-Instruct,26,pns,Jailbreak_vs_Benign,0.5760836742134577,0.5387546652839357,-0.03732900892952207,0.5048099160976433,0.4585148641717758,0.9082921106547502,0.21399716485272555,0.2114878419972015,0.2908127512449177,0.24702702217457428,1.1970780536453538,0.29136955279474014,0.683824152410955
Llama-3.1-8B-Instruct,26,pns,Jailbreak_vs_Refusal,0.8323577507924917,0.9251161521722544,0.09275840137976266,0.7896810203852636,0.57799020400081,0.7319287016912532,0.13238390241386583,0.043282130482324356,0.6572971179713978,0.5347080735184857,1.1970780536453538,0.29136955279474014,0.683824152410955
Llama-3.1-8B-Instruct,28,pns,Jailbreak_vs_Benign,0.5580660118913499,0.5041884655032811,-0.05387754638806874,0.6306175090826577,0.45390436281567387,0.7197776088963281,0.27869131076004183,0.22505101864239468,0.35192619832261585,0.22885334417327918,0.6484531840759487,-0.4488049306851302,0.775157975476433
Llama-3.1-8B-Instruct,28,pns,Jailbreak_vs_Refusal,0.6703311785553095,0.9094924735111707,0.23916129495586114,0.9322443756950191,0.6513083978511802,0.6986455642230164,0.3073319046338182,0.05894831207091271,0.6249124710612008,0.5923600857802676,0.6484531840759487,-0.4488049306851302,0.775157975476433
Llama-3.1-8B-Instruct,30,pns,Jailbreak_vs_Benign,0.6377233952682206,0.5719966081432077,-0.0657267871250129,0.5424839544107176,0.40208168811094025,0.7411863242069681,0.19652924512538414,0.17209232631498725,0.34595470928533345,0.22998936179595297,1.1536731216015377,-0.3205876322963945,0.7584051636710611
Llama-3.1-8B-Instruct,30,pns,Jailbreak_vs_Refusal,0.778497683121265,0.939620405628303,0.16112272250703796,0.9136710799133106,0.615537320239546,0.6736968409878403,0.2023802610658941,0.03716589371670519,0.7112908188474165,0.5783714265228408,1.1536731216015377,-0.3205876322963945,0.7584051636710611
